,A1, , , ,A2, , , ,A3, , , ,A4, , , ,A5, , , 
,neap,middle,spring,total,neap,middle,spring,total,neap,middle,spring,total,neap,middle,spring,total,neap,middle,spring,total
minimumdepth(2)-manning(0.02-0.2)-viscosity(5-1000)-simulation-test5,0.230149031,0.267585979,0.192982049,0.232244773,0.333557808,0.293947912,0.428307007,0.356423474,0.482447495,0.41077564,0.467597792,0.454657346,0.369378626,0.45061341,0.36312435,0.396380418,0.119279779,0.120356068,0.087525452,0.110111994
nodes-14685,0.223160084,0.265700695,0.168132933,0.222610246,0.338175655,0.322145883,0.434846613,0.368434671,0.483642648,0.404601662,0.460665861,0.450860567,0.37054246,0.446487926,0.361610362,0.394721521,0.121232783,0.119123675,0.086701631,0.110158992
nodes-23361,0.223236537,0.253637865,0.183005526,0.221854112,0.332635691,0.291452936,0.429784472,0.356045881,0.473755703,0.396272175,0.441141523,0.438209214,0.377324751,0.43398569,0.339852991,0.385667215,0.119156249,0.120548997,0.084594271,0.109371634
nodes-34084,0.222016859,0.26499784,0.182062603,0.225582307,0.33237924,0.293022139,0.427135732,0.355332176,0.479010634,0.402444176,0.460135236,0.448381139,0.365727796,0.44912755,0.362252453,0.394419074,0.118457658,0.11958713,0.085558512,0.109016141
nodes-42426,0.232498722,0.268928957,0.194961642,0.234085797,0.33507265,0.294735543,0.428142203,0.357047367,0.483682141,0.406647222,0.459724568,0.451167764,0.367131063,0.445011058,0.368226581,0.395141694,0.120305095,0.125047425,0.085714893,0.111739604
nodes-50213,0.230149031,0.267585979,0.192982049,0.232244773,0.333557808,0.293947912,0.428307007,0.356423474,0.482447495,0.41077564,0.467597792,0.454657346,0.369378626,0.45061341,0.36312435,0.396380418,0.119279779,0.120356068,0.087525452,0.110111994
nodes-57470,0.238570058,0.268249171,0.198227349,0.236761041,0.33186674,0.294899433,0.430969639,0.357228236,0.498670818,0.414012981,0.470320079,0.462341977,0.372078195,0.451168373,0.363075647,0.397416242,0.120885805,0.125850909,0.090559537,0.11350897
minimumdepth(2)-manning(0.02-0.2)-viscosity(5-1000)-simulation-test8,0.211669854,0.260726567,0.169980337,0.21731374,0.336631119,0.309327003,0.432331759,0.363278798,0.471135449,0.399290719,0.442220001,0.438543126,0.367546442,0.438296802,0.345979308,0.385960341,0.121288882,0.119792621,0.0840264,0.109729517
test1,0.235378458,0.231892424,0.164314726,0.213054331,0.329185154,0.318536792,0.433601554,0.364160615,0.466956921,0.376586458,0.438519517,0.429016508,0.350336615,0.434957274,0.390316921,0.393391608,0.175668836,0.102444475,0.064327766,0.123142833
onemin-8cores,0.452604337,0.410712641,0.422042452,0.428818295,0.454226338,0.44920136,0.356340471,0.422327661,0.552494391,0.47696408,0.372979227,0.473236477,0.464601102,0.549782591,0.340611753,0.459757707,0.338962934,0.326730059,0.313872842,0.3266826
onemin-8cores-newmesh1,0.23330258,0.253365961,0.159655029,0.219175829,0.352587725,0.338258087,0.433814852,0.377240844,0.465769007,0.394214668,0.44234444,0.435130087,0.367831793,0.438184015,0.355687342,0.388938274,0.120084244,0.115344393,0.090809919,0.109500374
onemin-8cores-newmesh2,0.230532289,0.246670884,0.16706566,0.217487621,0.33488511,0.311436989,0.444884269,0.36835809,0.48559502,0.412038711,0.46746812,0.456108491,0.368526879,0.394899131,0.359813188,0.374710072,0.164144997,0.133021511,0.092306518,0.133114983
onemin-8cores-newmesh3,0.240744179,0.264413867,0.165569294,0.227512376,0.340281283,0.381584765,0.468975823,0.400556532,0.473808692,0.40096069,0.458697584,0.44559609,0.373254382,0.424370748,0.366242111,0.388819859,0.151899766,0.123342957,0.107805155,0.128981879
onemin-8cores-newmesh4,0.233372285,0.25613026,0.166868972,0.22204398,0.358440704,0.364164684,0.469561017,0.400659125,0.458271309,0.391823248,0.436584247,0.429784386,0.363997531,0.437111511,0.367001592,0.390832805,0.118548682,0.122038087,0.110844737,0.117237139
onemin-8cores-newmesh5,0.229360247,0.262340609,0.183216033,0.227300706,0.337616422,0.385789686,0.456219607,0.396213267,0.469092213,0.380306221,0.430174198,0.428069374,0.397500908,0.388747816,0.335653963,0.374964629,0.148885754,0.135217736,0.117898261,0.134599163
onemin-8cores-newmesh3--2,0.243093527,0.264177865,0.1581306,0.226487449,0.331776649,0.373081984,0.476800166,0.398582618,0.465148426,0.382375601,0.442708303,0.431495384,0.369710687,0.419495689,0.372834188,0.388015445,0.151218313,0.114348017,0.102625418,0.124464752
onemin-8cores-newmesh3-v0.1,0.248870463,0.259483466,0.153961629,0.225811396,0.336887749,0.372142333,0.452972146,0.390370353,0.469000736,0.411065599,0.470174893,0.450925362,0.392722067,0.408347461,0.371598285,0.391179224,0.152886408,0.13521881,0.104810606,0.132468416
onemin-8cores-huluthreepart,0.260178269,0.234211565,0.332714421,0.282098715,0.37834099,0.420243275,0.366301389,0.382245005,0.460603436,0.54168836,0.510773743,0.50064718,0.248878413,0.289926635,0.301946904,0.282107592,0.368188248,0.415466147,0.382899629,0.372239835
onemin-8cores-huluthreepart,0.260178269,0.234211565,0.332714421,0.282098715,0.37834099,0.420243275,0.366301389,0.382245005,0.460603436,0.54168836,0.510773743,0.50064718,0.248878413,0.289926635,0.301946904,0.282107592,0.368188248,0.415466147,0.382899629,0.372239835
onemin-8cores-huluthreepart,0.179368327,0.272800463,0.171847176,0.21720863,0.379622153,0.366698339,0.549974317,0.415238454,0.471913849,0.386536584,0.501875078,0.43549599,0.381261128,0.371403145,0.393536882,0.391906163,0.209874027,0.120904098,0.14299068,0.152497277
onemin-8cores-huluthreepart,0.228999739,0.255754743,0.153907107,0.21720863,0.346109283,0.385994807,0.498482994,0.415238454,0.474681817,0.385648753,0.441500264,0.43549599,0.377913239,0.439851859,0.352821836,0.391906163,0.184062903,0.143012586,0.124235689,0.152497277
rmse-hulu,0.278544804,0.311634358,0.202664121,0.268188943,0.329838578,0.281952893,0.450752291,0.361233327,0.493384269,0.389204541,0.447942949,0.445556243,0.40832202,0.437252461,0.349375212,0.39999151,0.124135019,0.10471203,0.065444941,0.101089321
r2-hulu,0.134244512,-0.117755584,0.31126307,0.094623415,-0.072634215,0.065728714,-0.780250644,-0.268693165,-1.154922878,-0.502044032,-0.752965401,-0.762296161,-0.627480964,-0.699787594,-0.269132763,-0.524287896,0.76187131,0.81391134,0.917615762,0.825501943
r2-taohua,0.09682914,-0.242284861,-0.064168334,-0.062486204,-0.447691,-0.94327484,-0.439645765,-0.609970825,0.094069463,-0.257806281,-0.319771253,-0.151859226,0.303831046,0.431255227,0.148012139,0.286774541,-0.420477012,-0.406104498,-0.332168636,-0.347439061
rmse-taohua,0.288123137,0.326201096,0.33368419,0.316631876,0.334717891,0.450531948,0.355347175,0.383530406,0.272635717,0.328277329,0.324805487,0.309620651,0.226272257,0.187938315,0.252088166,0.223657766,0.340541519,0.35790607,0.330380719,0.343131025
