,A1, , ,0.24,A2, , ,0.2,A3, , ,0.32,A4, , ,0.26,A5, , ,0.15,0.27
,neap,middle,spring,total,neap,middle,spring,total,neap,middle,spring,total,neap,middle,spring,total,neap,middle,spring,total,
minimumdepth(2)-manning(0.02-0.2)-viscosity(5-1000),0.447994308,0.531930037,0.584729611,0.524581478,0.194502628,0.336767882,0.343116619,0.299428841,0.265715028,0.553599347,0.583882998,0.489215722,0.251808645,0.533862593,0.488901697,0.442508656,0.142936139,0.196702869,0.160448519,0.168192832,
nodes-14685,0.307770164,0.366443707,0.391423899,0.356938899,0.217635413,0.363168425,0.3547495,0.3189063,0.358364369,0.718645212,0.769518552,0.642140889,0.270610666,0.571177478,0.511456974,0.469418818,0.140262121,0.252716636,0.202888148,0.203881307,
nodes-23361,0.435859232,0.513021097,0.57771511,0.512158395,0.209336658,0.348473054,0.3515988,0.310310072,0.305768044,0.642741188,0.692099668,0.573181845,0.268562144,0.56447375,0.523085605,0.470593523,0.164329244,0.268206638,0.196937409,0.214260935,
nodes-34084,0.363090912,0.421085542,0.455375757,0.414935788,0.228233307,0.378871855,0.395371864,0.342516781,0.321229591,0.643914587,0.688853219,0.575132797,0.262557973,0.557088742,0.504682407,0.459706025,0.131039115,0.227079255,0.171452744,0.180861163,
nodes-42426,0.265512173,0.332250837,0.370684982,0.325727232,0.229308262,0.382084513,0.391750156,0.34255853,0.360672398,0.69850936,0.743570765,0.624739249,0.270327836,0.567473809,0.511185485,0.467765704,0.133460426,0.234174128,0.165556063,0.182627141,
nodes-50213,0.319923956,0.381333609,0.419500418,0.375831194,0.234420734,0.388825981,0.405324919,0.351391052,0.342957058,0.675781355,0.721749506,0.60421363,0.261817413,0.559409487,0.500817888,0.459095447,0.131369178,0.229299882,0.176732342,0.18354892,
nodes-57470,0.252110795,0.329889155,0.365908561,0.319518274,0.229499708,0.38926486,0.400303265,0.348539788,0.356804369,0.690261067,0.726741625,0.614253772,0.273008535,0.569082206,0.508222315,0.467859715,0.131167174,0.240908041,0.175161344,0.187903351,
minimumdepth(2)-manning(0.02-0.2)-viscosity(5-1000)-simulation-test8,0.318061114,0.367840327,0.41267912,0.368227029,0.204829911,0.339605795,0.328875917,0.297459665,0.337097614,0.679966659,0.72024332,0.60408054,0.291402721,0.595236446,0.554870731,0.499033566,0.142083167,0.248672845,0.175035728,0.193789677,
test1,0.415911456,0.518042303,0.523133974,0.488200547,0.199769903,0.297561197,0.305944003,0.272061521,0.232083721,0.533631119,0.571046099,0.470715297,0.234521953,0.468915849,0.500742648,0.418579272,0.151908807,0.180469307,0.250885976,0.198820882,
onemin-8cores,1.133366591,0.864534363,0.78674973,0.940020325,0.905490162,0.869676841,0.593342285,0.801728405,1.034792327,1.00680072,0.722689118,0.932152064,0.935029513,0.86489207,0.751875601,0.853938991,0.622191765,0.527977526,0.530463421,0.561923572,
onemin-8cores-newmesh1,0.448350143,0.504136091,0.543442696,0.500166977,0.269787467,0.38946785,0.408900061,0.361326142,0.298924871,0.60081196,0.634844161,0.533341104,0.229447992,0.500461301,0.466941469,0.416790207,0.135611481,0.190953433,0.248117015,0.196990474,
onemin-8cores-newmesh2,0.484771314,0.532905685,0.577625323,0.53311747,0.251429966,0.35868305,0.373887725,0.332496912,0.340941762,0.702233746,0.755818489,0.627331679,0.238216997,0.472743393,0.502556713,0.421424925,0.124239763,0.215890451,0.219118965,0.191535311,
onemin-8cores-newmesh3,0.446306504,0.478334827,0.51724201,0.481502163,0.241586532,0.370226157,0.377813711,0.33574527,0.268637817,0.56651281,0.609357125,0.5047835,0.243717574,0.487616596,0.477352947,0.418343573,0.110270968,0.208654675,0.215576805,0.184544321,
onemin-8cores-newmesh4,0.463521835,0.523561824,0.564726452,0.518936554,0.251009214,0.358954218,0.370136818,0.331086605,0.286152976,0.607568125,0.651566017,0.540234772,0.234231545,0.500313605,0.469133097,0.418435173,0.125436282,0.227503196,0.236810549,0.202954183,
onemin-8cores-newmesh5,0.4387,0.494340157,0.525992535,0.487680916,0.257274199,0.375084394,0.403791924,0.351153449,0.309419337,0.644072615,0.678435872,0.568871717,0.238921445,0.475423624,0.478698355,0.413224392,0.128132226,0.238553698,0.247368362,0.211752088,
onemin-8cores-newmesh3--2,0.445859193,0.478125288,0.516223148,0.480929846,0.240129452,0.356315557,0.369572943,0.327214043,0.247994549,0.500835119,0.542258154,0.449585371,0.243479596,0.478774059,0.486527053,0.418415856,0.106341938,0.204668237,0.221108188,0.184469081,
onemin-8cores-newmesh3-v0.1,0.468640821,0.49309632,0.529842052,0.497828886,0.238325681,0.370236488,0.360112013,0.328407698,0.275494087,0.572992923,0.642896398,0.522026072,0.262102187,0.502963884,0.492450027,0.433657797,0.118063455,0.201798751,0.221394017,0.185900534,
onemin-8cores-huluthreepart,0.237848117,0.416797007,0.46894916,0.387386451,0.228128933,0.351825336,0.418262374,0.34193922,0.235715384,0.526894701,0.481522878,0.433990803,0.235310797,0.223021307,0.254603128,0.2380003,0.22288127,0.438056417,0.467774108,0.391740603,
onemin-8cores-huluthreepart,0.23701283,0.405012217,0.491682099,0.387386451,0.222999811,0.360608098,0.429277476,0.34193922,0.22863389,0.551728713,0.460439497,0.433990803,0.229456885,0.223441279,0.26436717,0.2380003,0.219461305,0.435496871,0.489074341,0.391740603,
onemin-8cores-huluthreepart,0.411695558,0.420560752,0.432451155,0.419431359,0.216185701,0.36905879,0.410131735,0.338496008,0.263291495,0.549711707,0.612285712,0.490713322,0.259965289,0.481221455,0.538248928,0.439958083,0.124471082,0.171125362,0.204535191,0.169672819,
onemin-8cores-huluthreepart,0.404189214,0.412621437,0.440616188,0.419431359,0.225597869,0.364801757,0.399704793,0.338496008,0.278328542,0.539805484,0.59459394,0.490713322,0.258243287,0.488364663,0.524880658,0.439958083,0.1198568,0.180622931,0.198434626,0.169672819,
rmse-hulu,0.404189214,0.412621437,0.440616188,0.419431359,0.225597869,0.364801757,0.399704793,0.338496008,0.278328542,0.539805484,0.59459394,0.490713322,0.258243287,0.488364663,0.524880658,0.439958083,0.1198568,0.180622931,0.198434626,0.169672819,
r2-hulu,-3.941279646,-0.621810285,-0.613670933,-0.368421328,0.182196868,0.18867795,0.288413373,0.387618029,-0.009745534,-0.694510845,-0.710731843,-0.367701444,0.234589339,-0.77218066,-1.057381362,-0.431968671,0.734807758,0.784854134,0.806575143,0.839452664,
r2-taohua,-0.006007179,-0.28136217,-0.467926511,-0.005082902,-1.203346492,-0.848374927,-0.329072707,-0.272841229,0.208593189,-0.684516584,-0.361983983,-0.080772685,0.136178897,0.697131168,0.500084427,0.626898368,-0.266143774,-0.161147633,-0.45488707,0.076400228,
rmse-taohua,0.237848117,0.416797007,0.46894916,0.387386451,0.228128933,0.351825336,0.418262374,0.34193922,0.235715384,0.526894701,0.481522878,0.433990803,0.235310797,0.223021307,0.254603128,0.2380003,0.22288127,0.438056417,0.467774108,0.391740603,
