time,time,water_level
11/08/2013 23:59,0,1.57
12/08/2013 00:59,3600,1.3
12/08/2013 01:59,7200,0.76
12/08/2013 02:59,10800,0.08
12/08/2013 03:59,14400,-0.57
12/08/2013 04:59,18000,-1.05
12/08/2013 05:59,21600,-1.3
12/08/2013 06:59,25200,-1.3
12/08/2013 07:59,28800,-0.98
12/08/2013 08:59,32400,-0.35
12/08/2013 09:59,36000,0.44
12/08/2013 10:59,39600,1.05
12/08/2013 11:59,43200,1.29
12/08/2013 12:59,46800,1.17
12/08/2013 13:59,50400,0.78
12/08/2013 14:59,54000,0.24
12/08/2013 15:59,57600,-0.35
12/08/2013 16:59,61200,-0.84
12/08/2013 17:59,64800,-1.11
12/08/2013 18:59,68400,-1.15
12/08/2013 19:59,72000,-0.9
12/08/2013 20:59,75600,-0.32
12/08/2013 21:59,79200,0.41
12/08/2013 22:59,82800,1.07
12/08/2013 23:59,86400,1.41
13/08/2013 00:59,90000,1.33
13/08/2013 01:59,93600,0.96
13/08/2013 02:59,97200,0.4
13/08/2013 03:59,100800,-0.24
13/08/2013 04:59,104400,-0.79
13/08/2013 05:59,108000,-1.15
13/08/2013 06:59,111600,-1.28
13/08/2013 07:59,115200,-1.16
13/08/2013 08:59,118800,-0.77
13/08/2013 09:59,122400,-0.12
13/08/2013 10:59,126000,0.56
13/08/2013 11:59,129600,1.04
13/08/2013 12:59,133200,1.18
13/08/2013 13:59,136800,1.01
13/08/2013 14:59,140400,0.63
13/08/2013 15:59,144000,0.14
13/08/2013 16:59,147600,-0.34
13/08/2013 17:59,151200,-0.71
13/08/2013 18:59,154800,-0.88
13/08/2013 19:59,158400,-0.85
13/08/2013 20:59,162000,-0.55
13/08/2013 21:59,165600,-0.04
13/08/2013 22:59,169200,0.59
13/08/2013 23:59,172800,1.04
14/08/2013 00:59,176400,1.2
14/08/2013 01:59,180000,1.05
14/08/2013 02:59,183600,0.65
14/08/2013 03:59,187200,0.11
14/08/2013 04:59,190800,-0.44
14/08/2013 05:59,194400,-0.89
14/08/2013 06:59,198000,-1.15
14/08/2013 07:59,201600,-1.21
14/08/2013 08:59,205200,-1.03
14/08/2013 09:59,208800,-0.62
14/08/2013 10:59,212400,-0.04
14/08/2013 11:59,216000,0.54
14/08/2013 12:59,219600,0.93
14/08/2013 13:59,223200,1.04
14/08/2013 14:59,226800,0.88
14/08/2013 15:59,230400,0.59
14/08/2013 16:59,234000,0.19
14/08/2013 17:59,237600,-0.19
14/08/2013 18:59,241200,-0.49
14/08/2013 19:59,244800,-0.62
14/08/2013 20:59,248400,-0.57
14/08/2013 21:59,252000,-0.33
14/08/2013 22:59,255600,0.07
14/08/2013 23:59,259200,0.53
15/08/2013 00:59,262800,0.86
15/08/2013 01:59,266400,0.95
15/08/2013 02:59,270000,0.79
15/08/2013 03:59,273600,0.43
15/08/2013 04:59,277200,-0.03
15/08/2013 05:59,280800,-0.5
15/08/2013 06:59,284400,-0.89
15/08/2013 07:59,288000,-1.11
15/08/2013 08:59,291600,-1.13
15/08/2013 09:59,295200,-0.97
15/08/2013 10:59,298800,-0.61
15/08/2013 11:59,302400,-0.1
15/08/2013 12:59,306000,0.41
15/08/2013 13:59,309600,0.78
15/08/2013 14:59,313200,0.93
15/08/2013 15:59,316800,0.88
15/08/2013 16:59,320400,0.68
15/08/2013 17:59,324000,0.37
15/08/2013 18:59,327600,0.05
15/08/2013 19:59,331200,-0.23
15/08/2013 20:59,334800,-0.38
15/08/2013 21:59,338400,-0.4
15/08/2013 22:59,342000,-0.28
15/08/2013 23:59,345600,-0.01
16/08/2013 00:59,349200,0.33
16/08/2013 01:59,352800,0.62
16/08/2013 02:59,356400,0.74
16/08/2013 03:59,360000,0.63
16/08/2013 04:59,363600,0.36
16/08/2013 05:59,367200,-0.02
16/08/2013 06:59,370800,-0.43
16/08/2013 07:59,374400,-0.8
16/08/2013 08:59,378000,-1.04
16/08/2013 09:59,381600,-1.12
16/08/2013 10:59,385200,-1.04
16/08/2013 11:59,388800,-0.76
16/08/2013 12:59,392400,-0.31
16/08/2013 13:59,396000,0.21
16/08/2013 14:59,399600,0.65
16/08/2013 15:59,403200,0.92
16/08/2013 16:59,406800,0.99
16/08/2013 17:59,410400,0.89
16/08/2013 18:59,414000,0.66
16/08/2013 19:59,417600,0.33
16/08/2013 20:59,421200,0
16/08/2013 21:59,424800,-0.26
16/08/2013 22:59,428400,-0.4
16/08/2013 23:59,432000,-0.39
17/08/2013 00:59,435600,-0.23
17/08/2013 01:59,439200,0.07
17/08/2013 02:59,442800,0.39
17/08/2013 03:59,446400,0.59
17/08/2013 04:59,450000,0.61
17/08/2013 05:59,453600,0.46
17/08/2013 06:59,457200,0.14
17/08/2013 07:59,460800,-0.27
17/08/2013 08:59,464400,-0.7
17/08/2013 09:59,468000,-1.02
17/08/2013 10:59,471600,-1.21
17/08/2013 11:59,475200,-1.23
17/08/2013 12:59,478800,-1.02
17/08/2013 13:59,482400,-0.58
17/08/2013 14:59,486000,0.01
17/08/2013 15:59,489600,0.59
17/08/2013 16:59,493200,1.01
17/08/2013 17:59,496800,1.22
17/08/2013 18:59,500400,1.19
17/08/2013 19:59,504000,0.97
17/08/2013 20:59,507600,0.57
17/08/2013 21:59,511200,0.12
17/08/2013 22:59,514800,-0.26
17/08/2013 23:59,518400,-0.53
18/08/2013 00:59,522000,-0.65
18/08/2013 01:59,525600,-0.53
18/08/2013 02:59,529200,-0.2
18/08/2013 03:59,532800,0.25
18/08/2013 04:59,536400,0.61
18/08/2013 05:59,540000,0.77
18/08/2013 06:59,543600,0.66
18/08/2013 07:59,547200,0.36
18/08/2013 08:59,550800,-0.11
18/08/2013 09:59,554400,-0.64
18/08/2013 10:59,558000,-1.09
18/08/2013 11:59,561600,-1.4
18/08/2013 12:59,565200,-1.49
18/08/2013 13:59,568800,-1.32
18/08/2013 14:59,572400,-0.84
18/08/2013 15:59,576000,-0.13
18/08/2013 16:59,579600,0.63
18/08/2013 17:59,583200,1.22
18/08/2013 18:59,586800,1.52
18/08/2013 19:59,590400,1.5
18/08/2013 20:59,594000,1.2
18/08/2013 21:59,597600,0.69
18/08/2013 22:59,601200,0.1
18/08/2013 23:59,604800,-0.42
19/08/2013 00:59,608400,-0.79
19/08/2013 01:59,612000,-0.96
19/08/2013 02:59,615600,-0.83
19/08/2013 03:59,619200,-0.37
19/08/2013 04:59,622800,0.25
19/08/2013 05:59,626400,0.79
19/08/2013 06:59,630000,1.03
19/08/2013 07:59,633600,0.95
19/08/2013 08:59,637200,0.58
19/08/2013 09:59,640800,0.01
19/08/2013 10:59,644400,-0.66
19/08/2013 11:59,648000,-1.24
19/08/2013 12:59,651600,-1.64
19/08/2013 13:59,655200,-1.78
19/08/2013 14:59,658800,-1.6
19/08/2013 15:59,662400,-1.01
19/08/2013 16:59,666000,-0.1
19/08/2013 17:59,669600,0.82
19/08/2013 18:59,673200,1.49
19/08/2013 19:59,676800,1.8
19/08/2013 20:59,680400,1.71
19/08/2013 21:59,684000,1.31
19/08/2013 22:59,687600,0.64
19/08/2013 23:59,691200,-0.07
20/08/2013 00:59,694800,-0.68
20/08/2013 01:59,698400,-1.11
20/08/2013 02:59,702000,-1.27
20/08/2013 03:59,705600,-1.03
20/08/2013 04:59,709200,-0.39
20/08/2013 05:59,712800,0.43
20/08/2013 06:59,716400,1.07
20/08/2013 07:59,720000,1.32
20/08/2013 08:59,723600,1.2
20/08/2013 09:59,727200,0.73
20/08/2013 10:59,730800,0.02
20/08/2013 11:59,734400,-0.77
20/08/2013 12:59,738000,-1.43
20/08/2013 13:59,741600,-1.86
20/08/2013 14:59,745200,-2
20/08/2013 15:59,748800,-1.75
20/08/2013 16:59,752400,-1
20/08/2013 17:59,756000,0.08
20/08/2013 18:59,759600,1.11
20/08/2013 19:59,763200,1.77
20/08/2013 20:59,766800,1.98
20/08/2013 21:59,770400,1.78
20/08/2013 22:59,774000,1.22
20/08/2013 23:59,777600,0.43
21/08/2013 00:59,781200,-0.36
21/08/2013 01:59,784800,-0.99
21/08/2013 02:59,788400,-1.41
21/08/2013 03:59,792000,-1.49
21/08/2013 04:59,795600,-1.08
21/08/2013 05:59,799200,-0.23
21/08/2013 06:59,802800,0.73
21/08/2013 07:59,806400,1.37
21/08/2013 08:59,810000,1.56
21/08/2013 09:59,813600,1.34
21/08/2013 10:59,817200,0.74
21/08/2013 11:59,820800,-0.08
21/08/2013 12:59,824400,-0.93
21/08/2013 13:59,828000,-1.6
21/08/2013 14:59,831600,-2.01
21/08/2013 15:59,835200,-2.1
21/08/2013 16:59,838800,-1.71
21/08/2013 17:59,842400,-0.78
21/08/2013 18:59,846000,0.41
21/08/2013 19:59,849600,1.41
21/08/2013 20:59,853200,1.96
21/08/2013 21:59,856800,2.03
21/08/2013 22:59,860400,1.67
21/08/2013 23:59,864000,0.96
22/08/2013 00:59,867600,0.1
22/08/2013 01:59,871200,-0.69
22/08/2013 02:59,874800,-1.28
22/08/2013 03:59,878400,-1.63
22/08/2013 04:59,882000,-1.57
22/08/2013 05:59,885600,-0.94
22/08/2013 06:59,889200,0.07
22/08/2013 07:59,892800,1.05
22/08/2013 08:59,896400,1.6
22/08/2013 09:59,900000,1.66
22/08/2013 10:59,903600,1.31
22/08/2013 11:59,907200,0.62
22/08/2013 12:59,910800,-0.26
22/08/2013 13:59,914400,-1.09
22/08/2013 14:59,918000,-1.69
22/08/2013 15:59,921600,-2.04
22/08/2013 16:59,925200,-2.01
22/08/2013 17:59,928800,-1.43
22/08/2013 18:59,932400,-0.37
22/08/2013 19:59,936000,0.8
22/08/2013 20:59,939600,1.65
22/08/2013 21:59,943200,2
22/08/2013 22:59,946800,1.88
22/08/2013 23:59,950400,1.37
23/08/2013 00:59,954000,0.58
23/08/2013 01:59,957600,-0.28
23/08/2013 02:59,961200,-1.01
23/08/2013 03:59,964800,-1.51
23/08/2013 04:59,968400,-1.73
23/08/2013 05:59,972000,-1.47
23/08/2013 06:59,975600,-0.65
23/08/2013 07:59,979200,0.43
23/08/2013 08:59,982800,1.31
23/08/2013 09:59,986400,1.69
23/08/2013 10:59,990000,1.61
23/08/2013 11:59,993600,1.14
23/08/2013 12:59,997200,0.4
23/08/2013 13:59,1000800,-0.46
23/08/2013 14:59,1004400,-1.19
23/08/2013 15:59,1008000,-1.69
23/08/2013 16:59,1011600,-1.91
23/08/2013 17:59,1015200,-1.71
23/08/2013 18:59,1018800,-0.98
23/08/2013 19:59,1022400,0.12
23/08/2013 20:59,1026000,1.13
23/08/2013 21:59,1029600,1.74
23/08/2013 22:59,1033200,1.87
23/08/2013 23:59,1036800,1.58
24/08/2013 00:59,1040400,0.95
24/08/2013 01:59,1044000,0.14
24/08/2013 02:59,1047600,-0.65
24/08/2013 03:59,1051200,-1.25
24/08/2013 04:59,1054800,-1.63
24/08/2013 05:59,1058400,-1.66
24/08/2013 06:59,1062000,-1.19
24/08/2013 07:59,1065600,-0.25
24/08/2013 08:59,1069200,0.75
24/08/2013 09:59,1072800,1.43
24/08/2013 10:59,1076400,1.64
24/08/2013 11:59,1080000,1.44
24/08/2013 12:59,1083600,0.88
24/08/2013 13:59,1087200,0.14
24/08/2013 14:59,1090800,-0.61
24/08/2013 15:59,1094400,-1.21
24/08/2013 16:59,1098000,-1.57
24/08/2013 17:59,1101600,-1.63
24/08/2013 18:59,1105200,-1.25
24/08/2013 19:59,1108800,-0.44
24/08/2013 20:59,1112400,0.54
24/08/2013 21:59,1116000,1.33
24/08/2013 22:59,1119600,1.67
24/08/2013 23:59,1123200,1.58
25/08/2013 00:59,1126800,1.15
25/08/2013 01:59,1130400,0.49
25/08/2013 02:59,1134000,-0.27
25/08/2013 03:59,1137600,-0.92
25/08/2013 04:59,1141200,-1.39
25/08/2013 05:59,1144800,-1.6
25/08/2013 06:59,1148400,-1.43
25/08/2013 07:59,1152000,-0.81
25/08/2013 08:59,1155600,0.1
25/08/2013 09:59,1159200,0.95
25/08/2013 10:59,1162800,1.43
25/08/2013 11:59,1166400,1.46
25/08/2013 12:59,1170000,1.16
25/08/2013 13:59,1173600,0.59
25/08/2013 14:59,1177200,-0.08
25/08/2013 15:59,1180800,-0.69
25/08/2013 16:59,1184400,-1.11
25/08/2013 17:59,1188000,-1.33
25/08/2013 18:59,1191600,-1.21
25/08/2013 19:59,1195200,-0.73
25/08/2013 20:59,1198800,0.06
25/08/2013 21:59,1202400,0.83
25/08/2013 22:59,1206000,1.34
25/08/2013 23:59,1209600,1.45
26/08/2013 00:59,1213200,1.23
26/08/2013 01:59,1216800,0.71
26/08/2013 02:59,1220400,0.07
26/08/2013 03:59,1224000,-0.57
26/08/2013 04:59,1227600,-1.09
26/08/2013 05:59,1231200,-1.4
26/08/2013 06:59,1234800,-1.44
26/08/2013 07:59,1238400,-1.1
26/08/2013 08:59,1242000,-0.43
26/08/2013 09:59,1245600,0.37
26/08/2013 10:59,1249200,1.01
26/08/2013 11:59,1252800,1.29
26/08/2013 12:59,1256400,1.23
26/08/2013 13:59,1260000,0.88
26/08/2013 14:59,1263600,0.35
26/08/2013 15:59,1267200,-0.19
26/08/2013 16:59,1270800,-0.65
26/08/2013 17:59,1274400,-0.93
26/08/2013 18:59,1278000,-0.99
26/08/2013 19:59,1281600,-0.77
26/08/2013 20:59,1285200,-0.25
26/08/2013 21:59,1288800,0.38
26/08/2013 22:59,1292400,0.93
26/08/2013 23:59,1296000,1.19
