时间,,,实测流�?实测流向
16/08/2013 10:00,0.27,96,27
16/08/2013 10:10,0.21,140,21
16/08/2013 10:20,0.25,153,25
16/08/2013 10:30,0.27,119,27
16/08/2013 10:40,0.21,117,21
16/08/2013 10:50,0.11,136,11
16/08/2013 11:00,0.13,147,13
16/08/2013 11:10,0.11,126,11
16/08/2013 11:20,0.18,130,18
16/08/2013 11:30,0.06,195,6
16/08/2013 11:40,0.08,113,8
16/08/2013 11:50,0.14,351,14
16/08/2013 12:00,0.12,322,12
16/08/2013 12:10,0.15,6,15
16/08/2013 12:20,0.14,327,14
16/08/2013 12:30,0.14,0,14
16/08/2013 12:40,0.34,337,34
16/08/2013 12:50,0.38,337,38
16/08/2013 13:00,0.37,332,37
16/08/2013 13:10,0.48,327,48
16/08/2013 13:20,0.39,331,39
16/08/2013 13:30,0.48,336,48
16/08/2013 13:40,0.57,345,57
16/08/2013 13:50,0.64,342,64
16/08/2013 14:00,0.65,337,65
16/08/2013 14:10,0.75,335,75
16/08/2013 14:20,0.72,338,72
16/08/2013 14:30,0.69,333,69
16/08/2013 14:40,0.75,348,75
16/08/2013 14:50,0.64,329,64
16/08/2013 15:00,0.74,351,74
16/08/2013 15:10,0.86,346,86
16/08/2013 15:20,0.92,346,92
16/08/2013 15:30,0.82,349,82
16/08/2013 15:40,0.75,335,75
16/08/2013 15:50,0.8,334,80
16/08/2013 16:00,0.92,343,92
16/08/2013 16:10,0.89,340,89
16/08/2013 16:20,0.86,326,86
16/08/2013 16:30,0.77,330,77
16/08/2013 16:40,0.74,335,74
16/08/2013 16:50,0.67,327,67
16/08/2013 17:00,0.61,343,61
16/08/2013 17:10,0.65,328,65
16/08/2013 17:20,0.49,333,49
16/08/2013 17:30,0.44,333,44
16/08/2013 17:40,0.43,349,43
16/08/2013 17:50,0.37,338,37
16/08/2013 18:00,0.3,347,30
16/08/2013 18:10,0.34,327,34
16/08/2013 18:20,0.31,331,31
16/08/2013 18:30,0.26,327,26
16/08/2013 18:40,0.14,328,14
16/08/2013 18:50,0.18,281,18
16/08/2013 19:00,0.19,235,19
16/08/2013 19:10,0.14,202,14
16/08/2013 19:20,0.14,192,14
16/08/2013 19:30,0.14,211,14
16/08/2013 19:40,0.16,166,16
16/08/2013 19:50,0.08,178,8
16/08/2013 20:00,0.13,205,13
16/08/2013 20:10,0.34,133,34
16/08/2013 20:20,0.5,138,50
16/08/2013 20:30,0.48,148,48
16/08/2013 20:40,0.44,132,44
16/08/2013 20:50,0.47,136,47
16/08/2013 21:00,0.47,132,47
16/08/2013 21:10,0.49,148,49
16/08/2013 21:20,0.47,138,47
16/08/2013 21:30,0.43,142,43
16/08/2013 21:40,0.55,173,55
16/08/2013 21:50,0.4,110,40
16/08/2013 22:00,0.39,128,39
16/08/2013 22:10,0.49,153,49
16/08/2013 22:20,0.38,119,38
16/08/2013 22:30,0.31,133,31
16/08/2013 22:40,0.31,121,31
16/08/2013 22:50,0.24,153,24
16/08/2013 23:00,0.24,130,24
16/08/2013 23:10,0.18,110,18
16/08/2013 23:20,0.23,122,23
16/08/2013 23:30,0.3,116,30
16/08/2013 23:40,0.08,123,8
16/08/2013 23:50,0.1,134,10
17/08/2013 00:00,0.04,147,4
17/08/2013 00:10,0.04,349,4
17/08/2013 00:20,0.04,40,4
17/08/2013 00:30,0.03,4,3
17/08/2013 00:40,0.08,0,8
17/08/2013 00:50,0.06,285,6
17/08/2013 01:00,0.18,240,18
17/08/2013 01:10,0.2,329,20
17/08/2013 01:20,0.27,349,27
17/08/2013 01:30,0.16,286,16
17/08/2013 01:40,0.09,346,9
17/08/2013 01:50,0.15,2,15
17/08/2013 02:00,0.16,14,16
17/08/2013 02:10,0.18,318,18
17/08/2013 02:20,0.33,344,33
17/08/2013 02:30,0.39,342,39
17/08/2013 02:40,0.41,353,41
17/08/2013 02:50,0.47,333,47
17/08/2013 03:00,0.5,340,50
17/08/2013 03:10,0.59,349,59
17/08/2013 03:20,0.6,341,60
17/08/2013 03:30,0.75,351,75
17/08/2013 03:40,0.87,331,87
17/08/2013 03:50,0.87,341,87
17/08/2013 04:00,0.75,333,75
17/08/2013 04:10,0.54,347,54
17/08/2013 04:20,0.63,341,63
17/08/2013 04:30,0.68,334,68
17/08/2013 04:40,0.65,344,65
17/08/2013 04:50,0.77,331,77
17/08/2013 05:00,0.67,318,67
17/08/2013 05:10,0.59,337,59
17/08/2013 05:20,0.53,330,53
17/08/2013 05:30,0.5,344,50
17/08/2013 05:40,0.41,333,41
17/08/2013 05:50,0.45,337,45
17/08/2013 06:00,0.48,349,48
17/08/2013 06:10,0.44,328,44
17/08/2013 06:20,0.39,317,39
17/08/2013 06:30,0.36,339,36
17/08/2013 06:40,0.27,315,27
17/08/2013 06:50,0.24,355,24
17/08/2013 07:00,0.33,335,33
17/08/2013 07:10,0.22,343,22
17/08/2013 07:20,0.15,318,15
17/08/2013 07:30,0.09,3,9
17/08/2013 07:40,0.05,272,5
17/08/2013 07:50,0.07,140,7
17/08/2013 08:00,0.04,57,4
17/08/2013 08:10,0.08,134,8
17/08/2013 08:20,0.16,163,16
17/08/2013 08:30,0.11,134,11
17/08/2013 08:40,0.16,160,16
17/08/2013 08:50,0.22,188,22
17/08/2013 09:00,0.34,156,34
17/08/2013 09:10,0.45,135,45
17/08/2013 09:20,0.47,145,47
17/08/2013 09:30,0.61,135,61
17/08/2013 09:40,0.41,165,41
17/08/2013 09:50,0.66,134,66
17/08/2013 10:00,0.63,135,63
17/08/2013 10:10,0.36,96,36
17/08/2013 10:20,0.48,157,48
17/08/2013 10:30,0.43,128,43
17/08/2013 10:40,0.48,124,48
17/08/2013 10:50,0.5,136,50
17/08/2013 11:00,0.31,126,31
19/08/2013 14:00,0.64,145,64
19/08/2013 14:10,0.61,159,61
19/08/2013 14:20,0.71,151,71
19/08/2013 14:30,0.74,143,74
19/08/2013 14:40,0.79,133,79
19/08/2013 14:50,0.37,149,37
19/08/2013 15:00,0.52,124,52
19/08/2013 15:10,0.17,133,17
19/08/2013 15:20,0.11,200,11
19/08/2013 15:30,0.15,51,15
19/08/2013 15:40,0.07,27,7
19/08/2013 15:50,0.15,122,15
19/08/2013 16:00,0.29,333,29
19/08/2013 16:10,0.28,344,28
19/08/2013 16:20,0.41,351,41
19/08/2013 16:30,0.5,337,50
19/08/2013 16:40,0.6,334,60
19/08/2013 16:50,0.67,330,67
19/08/2013 17:00,0.72,336,72
19/08/2013 17:10,0.83,351,83
19/08/2013 17:20,1.04,339,104
19/08/2013 17:30,1.16,347,116
19/08/2013 17:40,1.12,337,112
19/08/2013 17:50,1.16,346,116
19/08/2013 18:00,1.27,334,127
19/08/2013 18:10,1.12,345,112
19/08/2013 18:20,0.95,337,95
19/08/2013 18:30,1.19,340,119
19/08/2013 18:40,1.33,354,133
19/08/2013 18:50,1.35,351,135
19/08/2013 19:00,1.33,349,133
19/08/2013 19:10,1.33,339,133
19/08/2013 19:20,1.42,347,142
19/08/2013 19:30,1.42,354,142
19/08/2013 19:40,1.33,350,133
19/08/2013 19:50,1.34,350,134
19/08/2013 20:00,1.18,347,118
19/08/2013 20:10,1.1,347,110
19/08/2013 20:20,1.11,346,111
19/08/2013 20:30,0.85,341,85
19/08/2013 20:40,1.03,332,103
19/08/2013 20:50,0.94,355,94
19/08/2013 21:00,0.95,329,95
19/08/2013 21:10,0.92,341,92
19/08/2013 21:20,0.91,356,91
19/08/2013 21:30,0.66,357,66
19/08/2013 21:40,0.5,335,50
19/08/2013 21:50,0.45,336,45
19/08/2013 22:00,0.34,346,34
19/08/2013 22:10,0.22,341,22
19/08/2013 22:20,0.07,359,7
19/08/2013 22:30,0.08,299,8
19/08/2013 22:40,0.23,20,23
19/08/2013 22:50,0.26,154,26
19/08/2013 23:00,0.47,161,47
19/08/2013 23:10,0.58,176,58
19/08/2013 23:20,0.55,171,55
19/08/2013 23:30,0.71,160,71
19/08/2013 23:40,0.75,165,75
19/08/2013 23:50,0.91,127,91
20/08/2013 00:00,0.93,132,93
20/08/2013 00:10,0.88,126,88
20/08/2013 00:20,0.82,146,82
20/08/2013 00:30,0.75,120,75
20/08/2013 00:40,0.92,126,92
20/08/2013 00:50,0.7,186,70
20/08/2013 01:00,1.14,132,114
20/08/2013 01:10,1.09,126,109
20/08/2013 01:20,1.03,157,103
20/08/2013 01:30,1.16,154,116
20/08/2013 01:40,0.91,148,91
20/08/2013 01:50,1.3,162,130
20/08/2013 02:00,1.29,166,129
20/08/2013 02:10,1.25,133,125
20/08/2013 02:20,1.16,161,116
20/08/2013 02:30,1.32,152,132
20/08/2013 02:40,1.22,157,122
20/08/2013 02:50,1.22,151,122
20/08/2013 03:00,0.88,146,88
20/08/2013 03:10,1.02,143,102
20/08/2013 03:20,1.06,126,106
20/08/2013 03:30,0.63,153,63
20/08/2013 03:40,0.8,144,80
20/08/2013 03:50,0.74,155,74
20/08/2013 04:00,0.57,137,57
20/08/2013 04:10,0.39,148,39
20/08/2013 04:20,0.25,152,25
20/08/2013 04:30,0.2,141,20
20/08/2013 04:40,0.22,63,22
20/08/2013 04:50,0.28,60,28
20/08/2013 05:00,0.28,4,28
20/08/2013 05:10,0.44,334,44
20/08/2013 05:20,0.24,33,24
20/08/2013 05:30,0.74,323,74
20/08/2013 05:40,0.74,344,74
20/08/2013 05:50,0.8,329,80
20/08/2013 06:00,0.95,336,95
20/08/2013 06:10,1.13,336,113
20/08/2013 06:20,1.25,348,125
20/08/2013 06:30,1.16,338,116
20/08/2013 06:40,1.28,340,128
20/08/2013 06:50,1.1,344,110
20/08/2013 07:00,1.03,345,103
20/08/2013 07:10,0.95,331,95
20/08/2013 07:20,1.05,344,105
20/08/2013 07:30,1,334,100
20/08/2013 07:40,1.18,350,118
20/08/2013 07:50,1.08,349,108
20/08/2013 08:00,1.06,344,106
20/08/2013 08:10,0.84,345,84
20/08/2013 08:20,0.95,329,95
20/08/2013 08:30,0.93,344,93
20/08/2013 08:40,1.18,339,118
20/08/2013 08:50,1.06,331,106
20/08/2013 09:00,0.94,342,94
20/08/2013 09:10,0.93,346,93
20/08/2013 09:20,0.88,342,88
20/08/2013 09:30,0.76,344,76
20/08/2013 09:40,0.66,347,66
20/08/2013 09:50,0.62,346,62
20/08/2013 10:00,0.39,355,39
20/08/2013 10:10,0.2,351,20
20/08/2013 10:20,0.2,343,20
20/08/2013 10:30,0.17,30,17
20/08/2013 10:40,0.19,311,19
20/08/2013 10:50,0.15,270,15
20/08/2013 11:00,0.11,183,11
20/08/2013 11:10,0.19,227,19
20/08/2013 11:20,0.36,192,36
20/08/2013 11:30,0.54,144,54
20/08/2013 11:40,0.64,153,64
20/08/2013 11:50,0.7,170,70
20/08/2013 12:00,0.81,160,81
20/08/2013 12:10,0.95,162,95
20/08/2013 12:20,1.04,152,104
20/08/2013 12:30,0.92,128,92
20/08/2013 12:40,1.01,129,101
20/08/2013 12:50,0.8,139,80
20/08/2013 13:00,1.03,158,103
20/08/2013 13:10,1.2,123,120
20/08/2013 13:20,1.04,142,104
20/08/2013 13:30,0.92,151,92
20/08/2013 13:40,1.28,162,128
20/08/2013 13:50,1.13,147,113
20/08/2013 14:00,0.57,119,57
20/08/2013 14:10,1.08,156,108
20/08/2013 14:20,1.18,124,118
20/08/2013 14:30,0.97,149,97
20/08/2013 14:40,1.01,169,101
20/08/2013 14:50,1.23,155,123
20/08/2013 15:00,1.15,156,115
23/08/2013 10:00,1.41,348,141
23/08/2013 10:10,1.51,335,151
23/08/2013 10:20,1.35,328,135
23/08/2013 10:30,1.31,337,131
23/08/2013 10:40,1.26,314,126
23/08/2013 10:50,1.07,334,107
23/08/2013 11:00,0.79,337,79
23/08/2013 11:10,0.9,348,90
23/08/2013 11:20,0.78,354,78
23/08/2013 11:30,0.75,345,75
23/08/2013 11:40,0.73,347,73
23/08/2013 11:50,0.57,324,57
23/08/2013 12:00,0.12,332,12
23/08/2013 12:10,0.35,342,35
23/08/2013 12:20,0.28,2,28
23/08/2013 12:30,0.17,37,17
23/08/2013 12:40,0.18,100,18
23/08/2013 12:50,0.28,68,28
23/08/2013 13:00,0.18,124,18
23/08/2013 13:10,0.31,232,31
23/08/2013 13:20,0.81,151,81
23/08/2013 13:30,0.85,142,85
23/08/2013 13:40,0.96,146,96
23/08/2013 13:50,1.15,138,115
23/08/2013 14:00,1.23,126,123
23/08/2013 14:10,1.39,129,139
23/08/2013 14:20,1.06,124,106
23/08/2013 14:30,0.69,157,69
23/08/2013 14:40,1.1,114,110
23/08/2013 14:50,1.09,124,109
23/08/2013 15:00,1.06,138,106
23/08/2013 15:10,1.29,138,129
23/08/2013 15:20,1.25,129,125
23/08/2013 15:30,1.15,127,115
23/08/2013 15:40,1.26,131,126
23/08/2013 15:50,0.93,139,93
23/08/2013 16:00,0.65,102,65
23/08/2013 16:10,0.51,166,51
23/08/2013 16:20,0.68,131,68
23/08/2013 16:30,0.36,131,36
23/08/2013 16:40,0.32,141,32
23/08/2013 16:50,0.27,160,27
23/08/2013 17:00,0.33,162,33
23/08/2013 17:10,0.36,64,36
23/08/2013 17:20,0.15,90,15
23/08/2013 17:30,0.32,70,32
23/08/2013 17:40,0.31,31,31
23/08/2013 17:50,0.23,8,23
23/08/2013 18:00,0.21,328,21
23/08/2013 18:10,0.14,359,14
23/08/2013 18:20,0.24,3,24
23/08/2013 18:30,0.19,28,19
23/08/2013 18:40,0.53,358,53
23/08/2013 18:50,0.66,344,66
23/08/2013 19:00,0.77,311,77
23/08/2013 19:10,0.73,291,73
23/08/2013 19:20,0.66,343,66
23/08/2013 19:30,0.83,340,83
23/08/2013 19:40,0.89,333,89
23/08/2013 19:50,1.1,335,110
23/08/2013 20:00,1.18,328,118
23/08/2013 20:10,1.23,315,123
23/08/2013 20:20,0.86,346,86
23/08/2013 20:30,1,329,100
23/08/2013 20:40,1.02,330,102
23/08/2013 20:50,1.25,2,125
23/08/2013 21:00,1.21,323,121
23/08/2013 21:10,0.97,324,97
23/08/2013 21:20,1.04,329,104
23/08/2013 21:30,1.17,322,117
23/08/2013 21:40,1.19,341,119
23/08/2013 21:50,1.07,305,107
23/08/2013 22:00,1.18,329,118
23/08/2013 22:10,0.86,334,86
23/08/2013 22:20,0.94,303,94
23/08/2013 22:30,1.06,308,106
23/08/2013 22:40,1.02,312,102
23/08/2013 22:50,0.86,352,86
23/08/2013 23:00,0.76,338,76
23/08/2013 23:10,0.84,325,84
23/08/2013 23:20,0.62,325,62
23/08/2013 23:30,0.67,344,67
23/08/2013 23:40,0.64,346,64
23/08/2013 23:50,0.59,312,59
24/08/2013 00:00,0.5,299,50
24/08/2013 00:10,0.57,337,57
24/08/2013 00:20,0.51,319,51
24/08/2013 00:30,0.33,1,33
24/08/2013 00:40,0.28,34,28
24/08/2013 00:50,0.28,46,28
24/08/2013 01:00,0.34,11,34
24/08/2013 01:10,0.19,100,19
24/08/2013 01:20,0.49,143,49
24/08/2013 01:30,0.61,146,61
24/08/2013 01:40,0.97,154,97
24/08/2013 01:50,1.03,135,103
24/08/2013 02:00,0.96,132,96
24/08/2013 02:10,0.99,130,99
24/08/2013 02:20,1.2,134,120
24/08/2013 02:30,1.24,126,124
24/08/2013 02:40,1.3,117,130
24/08/2013 02:50,0.84,102,84
24/08/2013 03:00,0.95,141,95
24/08/2013 03:10,0.81,135,81
24/08/2013 03:20,0.71,126,71
24/08/2013 03:30,0.97,136,97
24/08/2013 03:40,0.75,109,75
24/08/2013 03:50,0.93,121,93
24/08/2013 04:00,1.09,150,109
24/08/2013 04:10,0.74,100,74
24/08/2013 04:20,0.65,104,65
24/08/2013 04:30,0.52,122,52
24/08/2013 04:40,0.41,126,41
24/08/2013 04:50,0.56,110,56
24/08/2013 05:00,0.31,128,31
24/08/2013 05:10,0.36,95,36
24/08/2013 05:20,0.29,20,29
24/08/2013 05:30,0.04,268,4
24/08/2013 05:40,0.03,271,3
24/08/2013 05:50,0.07,337,7
24/08/2013 06:00,0.05,194,5
24/08/2013 06:10,0.2,217,20
24/08/2013 06:20,0.06,188,6
24/08/2013 06:30,0.23,18,23
24/08/2013 06:40,0.1,204,10
24/08/2013 06:50,0.19,4,19
24/08/2013 07:00,0.58,328,58
24/08/2013 07:10,0.43,348,43
24/08/2013 07:20,0.66,352,66
24/08/2013 07:30,0.78,340,78
24/08/2013 07:40,0.84,343,84
24/08/2013 07:50,0.96,338,96
24/08/2013 08:00,0.84,314,84
24/08/2013 08:10,1.25,339,125
24/08/2013 08:20,1.21,345,121
24/08/2013 08:30,1.34,319,134
24/08/2013 08:40,1.2,330,120
24/08/2013 08:50,1.18,345,118
24/08/2013 09:00,1.27,322,127
24/08/2013 09:10,1.14,316,114
24/08/2013 09:20,1.19,346,119
24/08/2013 09:30,1.26,326,126
24/08/2013 09:40,1.14,310,114
24/08/2013 09:50,0.97,331,97
24/08/2013 10:00,1.3,329,130
24/08/2013 10:10,1.08,331,108
24/08/2013 10:20,1.05,325,105
24/08/2013 10:30,1.06,326,106
24/08/2013 10:40,1.21,331,121
24/08/2013 10:50,1.13,329,113
24/08/2013 11:00,0.93,343,93
